"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"243","Eleições Gerais Estaduais 2018","DF","DEPUTADO FEDERAL","SARGENTO EVERALDO","AVANTE"
"244","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","SANCHES","NOVO"
"245","Eleições Gerais Estaduais 2018","DF","VICE-GOVERNADOR","ADALBERTO MONTEIRO","PRP"
"246","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DEDÉ","DEM"
"247","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","PROFESSOR ORLANDO JÚNIOR","PP"
"248","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","CACÁ SILVA","PRP"
"249","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","GURGEL","PMN"
"250","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","ALEXANDRE MORAIS","PATRIOTA"
"251","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DY NOBRE DOS OFICINEIROS","MDB"
"252","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","HERMETO","PHS"
"253","Eleições Gerais Estaduais 2018","DF","DEPUTADO DISTRITAL","DR GUTEMBERG","PR"
