"eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","FERNANDO JAMES","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ROSIMERE","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","PR. GILVAN MENEZES","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CARIMBÃO JUNIOR","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ANTÔNIO TIMÓTEO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CHICO FILHO","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JAIRO CAMPOS","PC do B"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","HELENA CAMILA","PPS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCELO BELTRÃO","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JADSON LIRA","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MARCIA MARCOLINO","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","IRMÃO WASHIGTON LIRA","PDT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","OLÍVIA TENÓRIO","PMN"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","TATIANE SILVA","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DA PAZ","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","RANDERSON PESSÔA","PRB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","CHAMARIZ","PSL"
"Eleições Gerais Estaduais 2018","AL","GOVERNADOR","RENAN FILHO","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","SINESIO SOUZA","PV"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CLAUDIA RIBEIRO","PSL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","CLEIDE DO HOSPITAL","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","MARIO MORAL","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","LOBÃO","PR"
"Eleições Gerais Estaduais 2018","AL","VICE-GOVERNADOR","LUCIANO BARBOSA","MDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DOQUINHA DO CALDINHO","PPL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","FABIANA LIRA","PRTB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ROBERTO MARTINS","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","VALQUIRIA VALENTIM","PV"
"Eleições Gerais Estaduais 2018","AL","GOVERNADOR","BASILE","PSOL"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","GICELLY CORREIA","PTC"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ARIEL","PATRIOTA"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JOABSON NASCIMENTO","PT"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","EDUARDO CANUTO","PSDB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","DAVI DAVINO FILHO","PP"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","SUELY LIBERATO","PHS"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","ARNALDO LANZELOTI","PRB"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO FEDERAL","MARIA TAVARES","NOVO"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","JÉSSICA DO GADO","AVANTE"
"Eleições Gerais Estaduais 2018","AL","DEPUTADO ESTADUAL","MANOEL MESSIAS","PC do B"
