"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"232","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ELIANE SCHIEBEL","PHS"
"233","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","MAJOR ISABEL CRISTINA","PDT"
"234","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SANDRO ADAO","PDT"
"235","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MARCIA BARAUSSE","PSB"
"236","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","DR. BATISTA","PMN"
"237","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MAURO KNORST","PRB"
"238","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ELAINE GUSSO","PRB"
"239","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SUELI COSTA","PPS"
"240","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","MOISES BATISTA","PPS"
"241","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","CORONEL FIGUEIREDO","PSL"
"242","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","ALEX OTTO","PC do B"
"243","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","GUARACY RIBAS","MDB"
"244","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ESTACHO","PV"
"245","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ELIANY ALVES FEITOZA","PDT"
"246","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","NEZI DO ROCIO","PRB"
"247","Eleições Gerais Estaduais 2018","PR","DEPUTADO FEDERAL","SOLDADO PASTOR EZEQUIEL","PRB"
"248","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","CARLINHO","PRP"
"249","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","SAMUEL DANTAS","PSB"
"250","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","JORGE WISNIEWSKI CAMINHONEIRO","PV"
"251","Eleições Gerais Estaduais 2018","PR","DEPUTADO ESTADUAL","ALDO MORAES","PPL"
