"","eleicao_descricao","uf","candidato_cargo","nome_urna","partido_sigla"
"177","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SOCORRO PINHEIRO","PMB"
"178","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSOR PAULO JOSÉ","PP"
"179","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","GLORIA MELO DA COSTA","DEM"
"180","Eleições Gerais Estaduais 2018","AC","1º SUPLENTE","NAZARETH ARAÚJO","PT"
"181","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","TIAO TAVARES","PODE"
"182","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JARDEL NASCIMENTO","PRTB"
"183","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PASTOR PEDRO OLIVEIRA","PSD"
"184","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","MOREIRA DA FARMACIA","PSL"
"185","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","KEDMA SILVA","PT"
"186","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","BRANCO DO CALAFATE","PTB"
"187","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","REAL","PT"
"188","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROQUE DA PUBLICIDADE","PSL"
"189","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PROFESSOR SERGIO TORRES","PTB"
"190","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SGT CADMIEL BOMFIM","PSDB"
"191","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANTONIO PEDRO","DEM"
"192","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JULIO CAÇAMBEIRO","PHS"
"193","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","GIOMA FIRMINO","PTB"
"194","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DEDÉ DA BAIXADA","PP"
"195","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","INES BARRETO","PSOL"
"196","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CARLINHOS PORTELA","PSDB"
"197","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PASTORA SANDRA ASFURY","PSC"
"198","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ALEXANDRINA VASQUES","PRP"
"199","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","THESCO","PP"
"200","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RONY CARTOLIN","PSOL"
"201","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CRISTIANO BORGES","PRTB"
"202","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JOZIAS SILVA","PPS"
"203","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","VANUSA VERAS","PRP"
"204","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","VELHO","PRP"
"205","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CHICÓ BRITO","PRB"
"206","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ALBINO DA SAÚDE","PSC"
"207","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","INÊS ROCHA","SOLIDARIEDADE"
"208","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NAYRA NUNES","PP"
"209","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","TIÃO BOCALOM","PSL"
"210","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","JOSE MASTRANGELO","PPS"
"211","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EDSON ARAUJO","PRB"
"212","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MANOEL KAXINAWÁ","PP"
"213","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","PASTORA ANDRESSA MOUSSE","PRTB"
"214","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MIRLENE SILVA","PSB"
"215","Eleições Gerais Estaduais 2018","AC","1º SUPLENTE","EDUARDO VELLOSO","PR"
"216","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANA ALICE","PSC"
"217","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","SABÁ MANCHINERY","PHS"
"218","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NENEM ALMEIDA ","SOLIDARIEDADE"
"219","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","DEUZIMAR MENDONÇA","DC"
"220","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","EDITH","MDB"
"221","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","ANDRESA BARROS","DC"
"222","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","SUBTENENTE CANDEIAS","PSL"
"223","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","MARCELO PINTURA","PTB"
"224","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ELINEIDE MEIRELES","PT"
"225","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANDRE PINHEIRO","PRB"
"226","Eleições Gerais Estaduais 2018","AC","2º SUPLENTE","JOSUÉ AMORIM","PT"
"227","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RAI HOLANDA","REDE"
"228","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ROSIMILSON FERREIRA DE ARAUJO","PRTB"
"229","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","ROBERTO FERES","MDB"
"230","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CLEIDSON ROCHA","MDB"
"231","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ANTONIO CARLOS","PSL"
"232","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","RENÊ FONTES","PTB"
"233","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","NATALINO PAULO","PSB"
"234","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","FLAVIANO MELO","MDB"
"235","Eleições Gerais Estaduais 2018","AC","DEPUTADO FEDERAL","GILMAR FONTES","PRP"
"236","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","CIRIO","PDT"
"237","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","KAROLINE BRILHANTE","PSL"
"238","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","AFONSO","DC"
"239","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","ACCIOLY","REDE"
"240","Eleições Gerais Estaduais 2018","AC","DEPUTADO ESTADUAL","LUCINEIA DO PRTB","PRTB"
